2024-07-24T00:11:54.002+01:00  WARN 8636 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-07-24T00:11:54.050+01:00  INFO 8636 --- [restartedMain] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name userDetailsService
2024-07-24T00:11:54.483+01:00 DEBUG 8636 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, CorsFilter, CsrfFilter, LogoutFilter, UsernamePasswordAuthenticationFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, ExceptionTranslationFilter, AuthorizationFilter
2024-07-24T00:12:03.537+01:00 DEBUG 8636 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /
2024-07-24T00:12:03.558+01:00 DEBUG 8636 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /
2024-07-24T00:12:03.922+01:00 DEBUG 8636 --- [http-nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : Retrieved SecurityContextImpl [Authentication=UsernamePasswordAuthenticationToken [Principal=User(id=1, username=4061700044887597, password=$2a$10$X37yjT7.BpO25vq73hSCaucjh99qbWURWtFdDCPYTQrxGOFhIFawG, fullname=Galina Sokolova, street=Rua Ary dos Santos 489, city=Cascais, state=4061700044887597, zip=2775-337, phoneNumber=965327346), Credentials=[PROTECTED], Authenticated=true, Details=WebAuthenticationDetails [RemoteIpAddress=127.0.0.1, SessionId=669A1BC1D69E0B697D8A7593C05E963B], Granted Authorities=[ROLE_USER]]]
2024-07-24T00:12:03.936+01:00 DEBUG 8636 --- [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /images/taco.png
2024-07-24T00:12:03.936+01:00 DEBUG 8636 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /css/styles.css
2024-07-24T00:12:03.939+01:00 DEBUG 8636 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /css/styles.css
2024-07-24T00:12:03.939+01:00 DEBUG 8636 --- [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /images/taco.png
2024-07-24T00:12:03.939+01:00 DEBUG 8636 --- [http-nio-8080-exec-4] w.c.HttpSessionSecurityContextRepository : Retrieved SecurityContextImpl [Authentication=UsernamePasswordAuthenticationToken [Principal=User(id=1, username=4061700044887597, password=$2a$10$X37yjT7.BpO25vq73hSCaucjh99qbWURWtFdDCPYTQrxGOFhIFawG, fullname=Galina Sokolova, street=Rua Ary dos Santos 489, city=Cascais, state=4061700044887597, zip=2775-337, phoneNumber=965327346), Credentials=[PROTECTED], Authenticated=true, Details=WebAuthenticationDetails [RemoteIpAddress=127.0.0.1, SessionId=669A1BC1D69E0B697D8A7593C05E963B], Granted Authorities=[ROLE_USER]]]
2024-07-24T00:12:03.951+01:00 DEBUG 8636 --- [http-nio-8080-exec-2] w.c.HttpSessionSecurityContextRepository : Retrieved SecurityContextImpl [Authentication=UsernamePasswordAuthenticationToken [Principal=User(id=1, username=4061700044887597, password=$2a$10$X37yjT7.BpO25vq73hSCaucjh99qbWURWtFdDCPYTQrxGOFhIFawG, fullname=Galina Sokolova, street=Rua Ary dos Santos 489, city=Cascais, state=4061700044887597, zip=2775-337, phoneNumber=965327346), Credentials=[PROTECTED], Authenticated=true, Details=WebAuthenticationDetails [RemoteIpAddress=127.0.0.1, SessionId=669A1BC1D69E0B697D8A7593C05E963B], Granted Authorities=[ROLE_USER]]]
2024-07-24T00:12:06.029+01:00 DEBUG 8636 --- [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing POST /logout
2024-07-24T00:12:06.043+01:00 DEBUG 8636 --- [http-nio-8080-exec-3] w.c.HttpSessionSecurityContextRepository : Retrieved SecurityContextImpl [Authentication=UsernamePasswordAuthenticationToken [Principal=User(id=1, username=4061700044887597, password=$2a$10$X37yjT7.BpO25vq73hSCaucjh99qbWURWtFdDCPYTQrxGOFhIFawG, fullname=Galina Sokolova, street=Rua Ary dos Santos 489, city=Cascais, state=4061700044887597, zip=2775-337, phoneNumber=965327346), Credentials=[PROTECTED], Authenticated=true, Details=WebAuthenticationDetails [RemoteIpAddress=127.0.0.1, SessionId=669A1BC1D69E0B697D8A7593C05E963B], Granted Authorities=[ROLE_USER]]]
